# Table 2: Raw sequencing reads of all expressed small non-coding RNA species by tissue type. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Name:,Chromosomal Position,,,,BREAST,,,,,CNS,,,,,,COLON,,,,,,,LEUKEMIA,,,,,,MELANOMA,,,,,,,,,NSCLC,,,,,,,,,OVARIAN,,,,,,,PROSTATE,,RENAL,,,,,,,
mature,structure,chromosome,start,stop,BT-549,HS-578T,MCF-7,MDA-MB-231,T-47D,SF-539,SF-295,SF-268,U251,SNB-75,SNB-19,COLO 205,HCT-15,HCC2998,HCT-116,HT-29,KM12,SW-620,CCRF-CEM,HL-60(TB),K-562,MOLT-4,RPMI 8226,SR,MALME-3M,LOX-IMVI,M14,MDA-MB-435,SK-MEL-28,SK-MEL-5,SK-MEL-2,UACC-257,UACC-62,A549,EKVX,HOP 92,HOP 62,NCI-H23,NCI-H322M,NCI-H226,NCI-H460,NCI-H522,IGR-OV1,NCI/ADR-RES,OVCAR-3,OVCAR-8,OVCAR-4,OVCAR-5,SK-OV-3,DU-145,PC-3,A498,CAKI-1,786-0,ACHN,RXF393,SN12C,TK-10,UO-31
RNA5SP103,rRNA,chr2,128445081,128445198,9,1,5,10,6,2,0,2,4,2,3,3,4,5,7,8,1,4,3,10,5,6,2,5,0,1,4,3,1,0,2,1,5,5,6,5,6,7,7,8,0,2,2,4,3,1,0,3,2,12,2,0,2,3,4,1,7,25,4
RNA5SP104,rRNA,chr2,134231195,134231312,29,6,31,8,8,15,30,27,11,4,14,18,9,7,5,6,6,12,2,7,10,6,6,2,0,13,5,6,7,6,9,0,4,13,19,8,12,9,20,10,4,20,16,7,6,11,14,6,24,42,5,27,17,20,22,30,11,86,4
RNA5SP105,rRNA,chr2,137512098,137512210,0,0,3,3,1,1,0,0,2,0,4,1,1,1,4,1,2,3,1,5,2,0,3,2,0,1,1,4,0,0,0,0,1,3,6,5,3,4,4,2,0,1,0,3,2,0,0,1,0,2,1,2,3,5,1,1,4,5,2
RNA5SP106,rRNA,chr2,147713455,147713554,3,0,2,3,1,0,0,1,2,0,3,0,0,0,1,1,0,5,0,1,1,0,1,1,0,1,1,0,0,0,0,0,2,4,3,0,2,2,6,4,0,1,0,3,0,1,1,1,0,1,0,3,0,0,7,0,2,2,1
RNA5SP107,rRNA,chr2,154590407,154590528,12,4,18,3,2,0,0,2,1,6,13,2,5,5,1,4,2,7,5,7,3,2,5,7,0,5,3,4,2,2,1,0,7,9,8,1,4,8,13,7,2,6,2,2,3,7,7,5,1,7,3,12,7,6,5,1,6,7,9
RNA5SP108,rRNA,chr2,161409554,161409670,6,5,6,6,4,2,0,1,7,2,5,5,4,4,3,4,1,9,1,3,4,5,2,8,0,10,2,8,0,1,1,0,1,6,1,4,6,6,9,10,1,2,6,5,3,4,3,2,0,13,4,6,2,6,2,2,5,7,4
RNA5SP109,rRNA,chr2,162496936,162497051,4,2,6,3,6,1,2,1,0,1,5,0,4,2,1,2,3,7,2,3,5,2,1,5,0,3,2,2,1,1,3,0,3,8,3,1,5,3,9,5,2,1,0,4,1,1,0,1,1,7,3,4,3,5,2,1,3,11,5
RNA5SP110,rRNA,chr2,164858432,164858546,35,8,25,22,8,3,5,8,17,6,36,14,21,21,12,16,7,20,19,19,16,12,11,15,0,22,19,15,30,3,10,0,25,44,8,27,27,17,32,36,10,18,22,11,11,10,11,14,25,33,15,12,12,22,21,7,32,22,14
RNA5SP111,rRNA,chr2,164895677,164895777,46,7,21,29,10,7,13,6,10,5,30,4,6,5,4,5,10,15,3,26,15,14,13,4,1,15,24,10,10,6,8,1,2,76,2,4,14,21,9,24,9,11,13,8,11,8,13,5,47,15,13,10,2,6,13,3,12,25,2
RNA5SP112,rRNA,chr2,177138699,177138797,0,3,7,3,3,2,4,1,7,6,8,3,4,6,7,7,4,11,2,5,2,4,1,8,0,6,4,1,0,2,2,0,1,4,3,3,4,3,3,3,3,3,2,3,1,2,4,2,3,6,4,8,0,1,1,2,7,10,3
RNA5SP113,rRNA,chr2,182048822,182048905,296,23,113,235,33,28,58,23,42,27,247,22,25,72,14,20,20,46,26,165,27,67,59,28,2,43,122,30,44,33,37,0,16,494,14,31,143,139,42,234,57,41,29,53,46,95,35,32,409,70,49,35,18,24,58,40,61,128,56
RNA5SP114,rRNA,chr2,188276732,188276844,6,3,4,6,6,0,0,43,3,5,6,1,4,12,4,5,3,6,2,2,2,3,9,1,0,4,2,3,3,4,3,0,0,5,4,3,3,3,4,4,4,5,2,4,2,12,2,0,7,12,6,7,3,3,4,1,12,7,7
RNA5SP115,rRNA,chr2,200849038,200849144,182,26,21,30,30,15,10,113,44,110,262,44,47,105,45,28,59,64,53,33,33,85,25,180,1,19,209,33,18,9,12,1,47,45,11,51,92,97,80,38,13,40,225,94,32,84,80,14,32,30,20,15,41,202,110,27,195,354,32
RNA5SP116,rRNA,chr2,208054161,208054258,7,0,4,4,2,0,0,0,3,2,6,1,1,3,2,2,0,6,1,3,1,1,0,1,0,2,1,8,0,2,0,0,1,4,1,0,1,5,7,3,1,4,3,3,2,0,2,0,0,1,2,3,1,5,3,1,2,5,1
RNA5SP117,rRNA,chr2,208920547,208920664,6,2,17,10,7,1,2,1,6,5,15,10,13,3,4,2,4,14,5,8,18,12,3,9,1,5,2,3,0,6,3,0,17,5,3,5,5,5,5,13,2,9,4,6,7,4,4,3,8,13,1,4,2,7,1,2,8,6,5
RNA5SP118,rRNA,chr2,209721913,209722021,2,1,10,4,3,1,0,1,5,6,11,2,9,8,4,3,5,8,1,1,2,1,4,4,0,2,4,3,0,1,0,0,7,7,3,10,2,4,7,6,0,4,2,1,3,1,0,5,1,15,5,2,0,4,3,0,7,5,4
RNA5SP119,rRNA,chr2,211535653,211535769,12,4,11,10,3,1,1,1,1,4,15,7,8,7,5,17,16,18,11,10,110,11,10,8,0,13,12,8,0,2,2,0,10,5,6,2,5,8,4,8,3,9,16,14,9,5,3,2,3,9,4,2,4,9,2,3,6,17,6
RNA5SP120,rRNA,chr2,216793489,216793600,7,2,15,5,6,1,1,1,5,4,12,1,7,6,6,6,4,5,0,8,6,7,5,3,0,12,2,1,3,0,3,0,3,5,4,3,2,1,22,4,3,8,5,1,6,3,6,5,6,10,1,7,1,5,9,2,6,11,2
RNA5SP121,rRNA,chr2,227763052,227763152,56,9,58,21,74,15,10,10,65,49,80,9,49,19,47,39,12,56,13,14,17,9,16,35,1,17,10,21,14,4,10,0,30,35,45,52,48,54,43,35,14,50,16,37,35,12,33,28,10,56,22,32,18,40,21,31,65,80,22
RNA5SP122,rRNA,chr2,241584968,241585075,17,7,8,7,13,20,15,20,9,9,55,3,9,56,11,3,3,25,9,47,5,7,11,19,0,2,3,1,17,16,49,0,7,17,4,7,9,12,4,6,4,3,0,4,3,6,3,2,110,125,10,8,2,2,4,20,24,24,13
RNA5SP123,rRNA,chr3,12511095,12511213,3,3,4,2,1,6,0,3,3,2,2,2,1,5,0,2,0,4,3,1,0,0,1,3,0,0,2,2,0,0,2,0,4,3,4,0,1,1,5,2,1,1,2,3,0,0,3,1,0,0,2,3,0,1,0,1,3,6,0
RNA5SP124,rRNA,chr3,14394648,14394757,1,0,2,1,0,0,0,0,0,1,0,1,1,3,0,1,0,4,2,1,0,3,0,0,0,2,0,0,0,0,2,0,1,2,1,2,0,1,0,0,0,1,1,0,1,0,0,0,0,3,0,1,1,0,0,1,1,2,0
RNA5SP125,rRNA,chr3,25025007,25025126,1,1,3,0,5,2,1,2,3,0,5,1,2,3,2,1,0,4,2,2,1,0,1,0,0,1,0,0,0,0,0,0,7,3,2,0,2,0,5,2,0,3,2,3,2,1,1,1,0,4,1,2,3,4,4,0,1,3,5
RNA5SP126,rRNA,chr3,25352284,25352392,2,1,6,2,1,1,1,0,6,3,6,2,3,7,2,5,1,8,2,0,4,7,4,2,0,3,2,1,2,0,0,0,3,4,1,0,4,3,5,2,0,1,0,3,2,2,3,2,1,4,2,2,2,3,2,0,2,5,1
RNA5SP127,rRNA,chr3,31228715,31228847,6,1,8,8,2,0,1,0,9,3,2,4,6,7,1,5,3,5,2,4,5,9,4,4,0,6,5,7,0,0,1,0,7,4,3,3,6,7,11,13,0,6,3,7,2,2,5,0,1,7,4,8,5,8,7,1,4,5,8
RNA5SP128,rRNA,chr3,33491983,33492098,26,1,13,14,4,3,3,8,2,3,20,5,9,12,3,8,4,9,4,10,6,10,6,6,0,5,10,12,3,5,3,0,4,27,5,6,9,15,10,16,5,7,10,3,6,7,3,5,22,5,5,4,4,7,3,4,8,18,6
RNA5SP129,rRNA,chr3,37341649,37341766,4,2,17,7,6,0,2,3,5,5,4,1,4,1,4,1,2,10,1,4,2,8,0,2,0,1,3,6,2,0,0,0,3,4,4,2,1,21,16,9,0,9,1,13,8,1,6,5,0,8,4,8,3,4,2,1,6,4,0
RNA5SP130,rRNA,chr3,49467115,49467228,5,5,3,2,9,3,6,0,3,6,13,9,6,16,6,9,3,8,6,4,9,4,10,11,0,7,3,10,4,2,2,0,5,11,4,2,5,3,12,6,2,14,5,12,8,3,8,6,7,7,5,10,4,6,6,4,11,31,1
RNA5SP131,rRNA,chr3,50419781,50419899,43,11,19,8,19,5,4,8,22,17,50,10,16,26,26,9,10,26,9,13,25,23,12,43,0,13,10,11,2,5,5,0,21,11,4,21,17,30,23,11,7,24,25,22,14,31,41,7,2,10,14,17,16,52,30,3,44,33,10
RNA5SP132,rRNA,chr3,51694465,51694582,1301,178,2047,677,1633,685,131,988,1442,1163,1498,222,1123,265,1268,761,125,1235,110,187,281,160,168,301,3,131,207,354,124,107,166,10,2015,962,1581,1308,1244,2403,3020,1472,463,1148,284,883,1580,540,2123,1060,236,724,1326,992,709,1412,302,664,1088,2343,1237
RNA5SP133,rRNA,chr3,56185104,56185222,17,4,10,12,5,5,2,7,11,6,18,9,7,6,6,4,9,11,1,5,6,10,4,15,0,3,2,15,3,5,2,0,7,8,5,10,9,10,16,5,4,3,8,10,10,4,16,7,7,2,11,5,6,6,11,3,17,23,4
RNA5SP134,rRNA,chr3,63545440,63545535,5,0,7,2,2,0,0,0,1,1,3,3,1,5,0,1,1,2,0,1,5,3,1,1,0,6,1,4,1,0,0,1,2,2,2,1,4,1,5,3,1,1,0,6,2,0,3,0,1,2,1,1,0,0,1,0,8,13,3
RNA5SP135,rRNA,chr3,68882967,68883091,10,1,8,5,6,3,1,3,5,5,8,5,7,8,8,8,6,8,7,8,5,9,3,2,0,5,6,4,2,2,1,0,3,14,6,3,7,4,12,3,3,4,8,2,3,6,4,10,8,13,5,5,2,5,5,1,4,10,3
RNA5SP136,rRNA,chr3,72691705,72691811,14,5,7,14,5,2,5,0,11,6,15,5,6,3,4,3,5,8,6,15,4,8,4,7,1,4,6,7,2,1,3,0,7,19,4,9,11,5,5,6,3,1,6,7,5,2,1,3,6,5,5,3,4,4,1,3,4,16,2
RNA5SP137,rRNA,chr3,125058304,125058438,4,2,4,6,6,2,0,0,5,1,11,1,9,4,2,2,1,7,0,2,0,3,0,4,0,3,1,4,0,2,1,0,4,1,3,3,4,1,4,3,2,1,1,3,0,1,2,3,2,6,1,2,1,4,5,1,17,6,0
RNA5SP138,rRNA,chr3,126564565,126564678,2,2,7,4,3,0,2,1,4,4,9,0,7,6,5,0,4,2,1,2,3,3,2,1,0,4,4,2,0,0,0,0,2,4,2,4,6,4,3,3,2,5,4,3,3,1,2,3,2,6,2,2,2,5,2,0,3,5,0
RNA5SP139,rRNA,chr3,127963608,127963724,50,22,29,29,21,2,4,6,13,10,109,8,6,27,2,14,18,19,4,22,13,16,42,18,0,37,23,15,7,1,5,0,7,112,4,11,17,23,10,27,31,9,7,7,6,14,8,5,19,32,36,7,4,9,9,2,25,47,16
RNA5SP140,rRNA,chr3,133710076,133710167,2,0,2,4,5,1,0,0,0,1,2,2,3,7,0,3,2,8,1,6,5,2,1,2,0,1,2,2,2,1,0,0,1,3,5,3,1,4,1,1,2,2,1,1,0,1,1,0,0,8,1,2,1,2,0,1,2,2,1
RNA5SP141,rRNA,chr3,134783436,134783555,0,0,1,0,1,1,0,0,2,1,3,2,0,0,1,1,1,2,1,0,1,5,1,3,0,1,0,0,2,0,0,0,1,2,1,1,2,1,3,1,1,2,1,2,1,0,0,2,0,1,0,5,2,1,2,0,1,4,2
RNA5SP142,rRNA,chr3,137518134,137518255,38,35,56,33,18,12,10,5,22,17,23,18,25,27,30,49,43,36,17,26,62,27,25,29,1,34,32,28,6,9,11,1,22,24,19,23,26,31,47,38,34,37,23,31,21,17,31,22,11,42,27,24,18,28,29,11,22,33,24
RNA5SP143,rRNA,chr3,142591677,142591791,5,2,6,3,3,0,3,0,8,4,4,2,3,9,7,6,1,6,6,7,5,1,5,4,0,4,3,7,0,2,1,0,11,5,4,4,2,6,4,2,2,0,2,6,2,2,1,2,3,3,3,1,3,3,2,3,6,14,3
RNA5SP144,rRNA,chr3,144186905,144187020,12,3,13,15,6,2,2,1,8,7,26,2,2,6,3,1,2,10,3,5,2,4,3,4,0,3,2,5,1,1,1,0,6,16,2,3,2,5,7,9,4,5,1,5,0,5,3,4,2,10,2,5,2,4,3,0,7,14,1
RNA5SP145,rRNA,chr3,151188099,151188223,2,0,5,0,1,0,0,3,4,0,2,1,0,0,0,1,0,0,1,0,2,1,0,0,0,2,1,1,1,1,0,0,2,0,1,0,0,3,0,0,2,0,1,1,0,4,2,0,0,3,0,0,1,0,2,0,1,2,0
RNA5SP146,rRNA,chr3,157173918,157174040,12,3,8,2,2,2,1,3,4,3,6,3,3,15,4,8,3,8,5,2,4,4,4,3,0,4,6,3,2,1,1,0,6,8,0,4,5,4,10,8,3,5,3,4,0,1,8,3,1,4,4,2,4,3,5,2,12,7,2
RNA5SP147,rRNA,chr3,176763233,176763341,9,7,5,2,5,5,3,2,3,5,2,0,5,4,6,6,4,4,5,10,3,1,2,4,0,4,3,5,2,0,0,0,3,7,1,6,2,2,4,8,1,4,1,4,4,2,5,5,1,7,2,11,1,6,7,4,3,5,0
RNA5SP148,rRNA,chr3,178429197,178429290,18,2,10,13,6,3,3,3,5,1,29,2,3,7,3,2,6,8,3,10,3,8,17,7,0,10,15,3,17,9,9,0,2,27,3,1,6,14,2,14,7,7,3,6,3,7,5,4,42,5,2,5,1,8,7,6,7,14,0
RNA5SP150,rRNA,chr3,181822872,181822990,651,21,65,44,31,42,25,252,67,374,999,108,176,236,215,29,63,89,137,32,44,239,69,923,1,40,218,107,29,21,65,0,80,66,22,172,137,291,205,61,43,88,144,359,50,203,295,39,32,62,42,19,58,510,330,44,684,362,48
RNA5SP151,rRNA,chr3,183258300,183258416,11,4,26,17,5,8,9,6,11,9,22,5,10,13,8,10,14,11,6,4,13,15,6,9,0,5,7,7,4,2,7,0,3,13,9,7,12,14,31,21,7,13,10,8,8,5,5,2,3,20,4,9,4,12,4,3,9,15,6
RNA5SP152,rRNA,chr4,8393015,8393124,7,4,13,12,10,16,4,182,11,7,28,6,8,13,12,23,3,12,9,6,10,10,13,35,0,8,17,7,2,17,12,1,12,10,8,6,6,23,26,14,6,6,13,15,4,14,9,5,15,12,4,4,2,18,15,23,20,28,5
RNA5SP153,rRNA,chr4,9411178,9411253,2,2,7,3,1,0,0,0,1,0,3,0,0,1,0,2,2,3,0,1,2,2,2,3,0,0,0,0,0,0,0,0,5,1,1,0,2,2,3,0,1,4,0,1,0,0,1,0,0,3,3,1,1,2,1,1,5,1,1
RNA5SP154,rRNA,chr4,9792751,9792861,20,6,7,4,2,2,1,3,8,2,7,4,16,4,7,5,7,8,9,8,31,8,4,12,0,8,6,4,3,0,11,0,1,6,3,4,3,3,5,9,6,6,8,5,9,6,6,3,0,17,5,3,1,9,4,5,10,5,8
RNA5SP155,rRNA,chr4,10115756,10115884,24,6,13,26,7,5,6,6,8,4,38,5,6,8,4,3,7,9,6,22,7,13,8,7,0,9,11,8,5,5,6,0,3,52,4,8,21,21,7,27,8,2,6,5,4,6,7,3,48,19,6,7,4,3,10,4,23,29,5
RNA5SP156,rRNA,chr4,11414051,11414160,3,8,5,4,3,1,2,1,7,7,10,5,6,6,1,6,4,10,4,4,7,5,6,10,0,7,7,4,0,0,2,1,3,8,4,3,8,4,5,4,3,5,8,9,2,0,6,7,2,6,5,3,4,7,5,2,7,12,2
RNA5SP157,rRNA,chr4,19181814,19181856,0,1,0,1,2,0,1,1,0,3,4,0,3,1,0,0,1,2,2,1,4,2,1,2,0,3,1,3,0,1,0,0,0,1,0,2,1,3,3,0,3,1,1,1,1,1,2,1,0,3,0,1,1,3,3,0,0,5,0
RNA5SP158,rRNA,chr4,38758791,38758892,2,3,18,7,7,5,3,2,14,7,8,6,6,14,4,6,5,12,7,5,6,3,11,4,0,6,4,10,6,3,4,0,19,7,8,6,8,12,17,11,6,10,2,9,5,8,6,8,5,23,8,7,2,4,7,6,11,12,15
RNA5SP159,rRNA,chr4,39936753,39936855,4,2,12,4,7,3,0,1,4,2,12,1,6,4,7,1,1,6,9,6,10,1,4,9,0,6,4,4,0,0,0,0,10,5,5,1,3,4,7,1,3,14,8,6,3,6,9,4,2,6,1,6,2,6,7,2,11,18,2
RNA5SP160,rRNA,chr4,40990154,40990273,7,1,11,3,4,1,1,1,6,2,11,2,7,4,3,2,1,12,0,3,2,1,5,7,0,5,3,5,0,0,2,0,3,7,3,2,5,4,6,6,0,4,2,7,6,3,2,1,1,6,3,3,1,4,5,2,8,10,1
RNA5SP161,rRNA,chr4,56097390,56097504,18,2,17,14,6,1,1,4,6,1,20,5,5,9,2,2,6,11,3,6,0,8,3,4,0,1,3,3,1,1,2,0,2,38,2,6,6,16,6,10,3,4,2,9,4,5,2,4,11,9,4,5,2,2,6,1,8,4,2
RNA5SP163,rRNA,chr4,71759518,71759616,5,2,2,1,1,0,0,1,1,0,3,0,1,1,2,1,1,2,0,1,1,2,0,1,0,1,0,0,0,0,0,0,1,2,2,0,5,1,2,2,0,5,2,1,0,2,1,0,2,1,0,0,2,2,1,0,3,9,0
RNA5SP164,rRNA,chr4,93820171,93820280,13,12,19,9,8,4,10,6,17,7,25,5,10,5,7,11,10,16,11,6,12,8,7,16,2,29,13,12,3,2,8,0,9,21,31,40,56,13,19,12,7,28,78,11,11,7,10,18,16,21,9,15,17,19,36,9,23,37,8
RNA5SP165,rRNA,chr4,147745303,147745417,15,13,39,29,24,6,11,8,22,22,56,16,9,20,16,38,7,64,117,97,4,127,4,14,0,32,6,17,11,3,51,0,22,15,60,44,56,28,123,33,4,17,10,16,9,4,11,19,14,97,5,15,24,29,30,9,20,36,7
RNA5SP166,rRNA,chr4,148557947,148558048,1,0,0,0,0,0,0,1,1,1,3,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,4,0,0,2,0,0,0,1,1,1,0,8,0,3,0,4,0,0,0,0,0
RNA5SP167,rRNA,chr4,149907560,149907675,5,2,2,2,7,0,1,1,10,2,8,1,3,4,2,4,3,7,2,3,1,1,2,7,1,6,1,1,0,1,0,0,4,3,0,2,1,5,2,2,1,1,2,2,1,1,0,0,5,4,0,0,0,2,2,1,8,13,1
RNA5SP168,rRNA,chr4,150970671,150970782,7,3,10,2,2,4,2,0,4,2,14,4,5,8,4,2,1,11,4,4,2,2,5,4,0,2,2,8,0,0,5,0,6,9,5,2,7,9,10,6,1,6,1,3,6,1,10,7,0,18,4,3,1,3,3,4,6,10,2
RNA5SP169,rRNA,chr4,151971497,151971613,5,2,10,4,4,2,2,0,2,5,5,1,5,5,6,4,1,4,4,5,3,3,2,3,0,5,2,6,1,1,3,0,5,13,4,4,3,10,4,4,1,4,4,3,1,7,2,3,1,9,3,4,6,5,2,1,8,8,5
RNA5SP170,rRNA,chr4,166053187,166053287,5,0,8,4,5,1,0,2,9,5,11,4,3,3,6,4,0,12,1,3,1,5,1,5,0,1,0,4,2,0,0,1,4,3,1,3,8,6,15,5,3,1,4,7,2,1,4,2,1,18,4,6,4,6,6,1,8,14,4
RNA5SP171,rRNA,chr4,166918364,166918478,20,7,6,5,9,1,2,2,11,7,18,12,17,20,25,10,8,15,13,12,13,5,1,12,0,6,11,9,1,0,1,0,5,15,20,17,22,7,6,7,4,2,12,3,2,3,8,4,0,34,3,17,18,18,20,1,15,21,2
RNA5SP172,rRNA,chr4,177457111,177457228,5,4,13,3,8,1,2,0,7,5,7,6,10,8,1,5,3,19,3,5,6,5,4,10,0,6,2,6,2,1,5,0,8,10,5,7,6,10,7,4,4,11,2,4,7,3,9,7,6,12,2,7,5,6,2,0,7,6,1
RNA5SP173,rRNA,chr4,178406695,178406830,11,8,8,4,8,0,10,3,4,7,17,6,10,7,2,7,6,16,2,9,8,3,3,7,0,9,5,2,3,2,2,0,5,8,4,3,8,8,5,6,2,8,4,7,2,3,3,4,9,19,3,7,3,5,5,3,8,14,3
RNA5SP176,rRNA,chr5,7047227,7047336,10,3,5,5,2,1,0,1,4,4,8,3,3,3,2,5,3,4,1,4,3,4,5,6,1,0,4,4,0,1,0,0,4,9,5,1,1,8,2,4,1,2,5,7,1,4,3,2,4,9,6,2,4,5,3,1,2,8,4
RNA5SP177,rRNA,chr5,9760907,9761013,28,7,16,16,7,3,7,1,8,9,30,3,7,6,10,7,10,13,5,18,16,13,8,6,0,15,21,11,5,6,5,0,14,36,5,5,16,11,5,20,8,3,6,7,8,7,5,5,43,10,7,4,3,5,3,2,11,16,3
RNA5SP178,rRNA,chr5,16033229,16033356,14,8,17,14,4,4,5,3,7,2,15,5,5,7,3,3,4,10,2,9,7,6,3,2,0,8,6,6,1,1,3,0,4,23,3,6,11,7,9,9,3,6,3,7,3,3,4,2,9,13,2,9,4,2,4,1,8,7,1
RNA5SP179,rRNA,chr5,16853994,16854114,12,4,21,27,10,4,2,3,12,1,16,7,7,14,13,9,1,20,5,9,12,19,5,15,0,3,2,17,3,4,0,0,3,15,3,3,11,31,45,37,5,6,7,45,6,4,4,3,11,17,3,4,8,9,13,2,6,14,6
RNA5SP181,rRNA,chr5,36485343,36485440,7,2,2,1,2,0,1,0,2,4,8,3,8,5,3,3,1,5,3,5,3,5,8,3,0,4,1,2,1,0,2,0,1,8,4,3,2,3,0,4,2,1,3,3,1,3,0,4,2,6,1,2,0,4,4,0,5,2,4
RNA5SP182,rRNA,chr5,51886688,51886769,2,0,1,1,1,0,2,0,1,0,4,1,1,2,2,1,0,1,1,1,2,1,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,2,1,0,0,1,2,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1
RNA5SP183,rRNA,chr5,55777469,55777587,11,7,5,5,4,0,2,1,3,3,7,1,4,5,2,4,3,3,3,2,3,4,5,2,0,6,4,5,1,0,1,0,9,17,2,2,6,2,13,8,0,2,3,4,6,1,5,1,1,4,0,3,0,2,2,1,4,11,3
RNA5SP184,rRNA,chr5,56146739,56146846,5,3,11,8,4,3,0,6,6,4,23,5,2,5,3,3,5,13,4,4,4,2,2,1,0,5,1,4,3,2,5,1,6,4,2,3,8,8,7,11,5,12,3,6,7,5,3,6,1,10,4,6,4,13,4,0,18,11,5
RNA5SP185,rRNA,chr5,56260333,56260446,47,12,45,17,30,3,3,5,28,24,32,22,30,32,30,30,25,68,32,32,29,28,19,21,0,10,9,32,4,5,4,0,14,41,26,34,19,15,46,24,20,26,18,16,17,12,23,10,3,56,21,28,17,38,30,3,39,60,13
